user_id,item_id,rating,timestamp_x,timestamp_y
305.0,451.0,3.0,,886324817
303.0,785.0,3.0,,879485318
290.0,143.0,5.0,,880474293
138.0,26.0,5.0,,879024232
225.0,237.0,5.0,,879539643
271.0,346.0,4.0,,885844430
298.0,317.0,4.0,,884182806
250.0,140.0,3.0,,878092059
59.0,23.0,5.0,,888205300
269.0,504.0,4.0,,891449922
68.0,117.0,4.0,,876973939
279.0,1240.0,1.0,,892174404
268.0,1035.0,2.0,,875542174
26.0,258.0,3.0,,891347949
130.0,379.0,4.0,,875801662
125.0,235.0,2.0,,892838559
151.0,10.0,5.0,,879524921
87.0,554.0,4.0,,879875940
178.0,568.0,4.0,,882826555
268.0,930.0,2.0,,875742942
268.0,145.0,1.0,,875744501
181.0,264.0,2.0,,878961624
286.0,143.0,4.0,,889651549
181.0,3.0,2.0,,878963441
145.0,237.0,5.0,,875270570
13.0,215.0,5.0,,882140588
145.0,15.0,2.0,,875270655
184.0,153.0,3.0,,889911285
128.0,508.0,4.0,,879967767
308.0,649.0,4.0,,887739292
271.0,709.0,3.0,,885849325
21.0,558.0,5.0,,874951695
308.0,640.0,4.0,,887737036
7.0,163.0,4.0,,891353444
249.0,188.0,4.0,,879641067
293.0,135.0,5.0,,888905550
213.0,173.0,5.0,,878955442
216.0,531.0,4.0,,880233810
213.0,176.0,4.0,,878956338
303.0,252.0,3.0,,879544791
94.0,720.0,1.0,,891723593
276.0,922.0,4.0,,889174849
181.0,306.0,1.0,,878962006
293.0,249.0,3.0,,888905229
198.0,58.0,3.0,,884208173
21.0,222.0,2.0,,874951382
279.0,1497.0,2.0,,890780576
308.0,81.0,5.0,,887737293
13.0,901.0,1.0,,883670672
280.0,631.0,5.0,,891700751
42.0,274.0,5.0,,881105817
117.0,268.0,5.0,,880124306
42.0,588.0,5.0,,881108147
92.0,794.0,3.0,,875654798
18.0,86.0,4.0,,880129731
5.0,225.0,2.0,,875635723
134.0,323.0,4.0,,891732335
234.0,10.0,3.0,,891227851
295.0,39.0,4.0,,879518279
146.0,1022.0,5.0,,891458193
42.0,1028.0,4.0,,881106072
197.0,688.0,1.0,,891409564
7.0,648.0,5.0,,891351653
21.0,440.0,1.0,,874951798
181.0,405.0,4.0,,878962919
110.0,944.0,3.0,,886989501
89.0,216.0,5.0,,879459859
305.0,512.0,4.0,,886323525
1.0,155.0,2.0,,878542201
198.0,258.0,4.0,,884204501
110.0,38.0,3.0,,886988574
13.0,418.0,2.0,,882398763
194.0,77.0,3.0,,879527421
230.0,172.0,4.0,,880484523
70.0,1133.0,3.0,,884151344
269.0,252.0,1.0,,891456350
210.0,204.0,5.0,,887730676
291.0,1178.0,4.0,,875086354
7.0,644.0,5.0,,891351685
62.0,302.0,3.0,,879371909
207.0,554.0,2.0,,877822854
254.0,219.0,1.0,,886475980
16.0,178.0,5.0,,877719333
94.0,792.0,4.0,,885873006
256.0,472.0,4.0,,882152471
151.0,747.0,3.0,,879524564
220.0,298.0,4.0,,881198966
143.0,682.0,3.0,,888407741
313.0,436.0,4.0,,891029877
22.0,241.0,3.0,,878888025
222.0,22.0,5.0,,878183285
307.0,949.0,4.0,,877123315
185.0,114.0,4.0,,883524320
118.0,654.0,5.0,,875385007
285.0,150.0,5.0,,890595636
134.0,879.0,4.0,,891732393
151.0,12.0,5.0,,879524368
10.0,285.0,5.0,,877889186
239.0,475.0,5.0,,889178689
181.0,1.0,3.0,,878962392
121.0,14.0,5.0,,891390014
312.0,573.0,5.0,,891712535
294.0,508.0,4.0,,877819532
279.0,746.0,5.0,,875310233
184.0,191.0,4.0,,889908716
5.0,98.0,3.0,,875720691
60.0,208.0,5.0,,883326028
270.0,778.0,5.0,,876955711
92.0,540.0,2.0,,875813197
56.0,184.0,4.0,,892679088
295.0,235.0,4.0,,879517943
287.0,252.0,1.0,,875334361
246.0,425.0,5.0,,884921918
13.0,396.0,3.0,,882141727
94.0,1048.0,4.0,,891722678
222.0,552.0,2.0,,878184596
222.0,1057.0,4.0,,881061370
184.0,207.0,4.0,,889908903
92.0,180.0,5.0,,875653016
294.0,282.0,3.0,,877821796
201.0,747.0,2.0,,884113635
271.0,482.0,5.0,,885848519
110.0,578.0,3.0,,886988536
279.0,1048.0,1.0,,886015533
141.0,826.0,2.0,,884585437
130.0,316.0,4.0,,888211794
119.0,718.0,5.0,,874774956
94.0,346.0,4.0,,891725410
31.0,484.0,5.0,,881548030
305.0,11.0,1.0,,886323237
198.0,7.0,4.0,,884205317
276.0,773.0,3.0,,874792794
13.0,150.0,5.0,,882140588
189.0,634.0,3.0,,893265506
259.0,772.0,4.0,,874724882
312.0,921.0,5.0,,891699295
253.0,510.0,5.0,,891628416
217.0,144.0,4.0,,889069782
62.0,111.0,3.0,,879372670
94.0,470.0,4.0,,891722006
308.0,163.0,4.0,,887737084
42.0,195.0,5.0,,881107949
60.0,525.0,5.0,,883325944
13.0,331.0,3.0,,881515457
49.0,7.0,4.0,,888067307
59.0,550.0,5.0,,888206605
58.0,100.0,5.0,,884304553
7.0,228.0,4.0,,891350845
92.0,846.0,3.0,,886443471
291.0,732.0,4.0,,874868097
49.0,334.0,4.0,,888065744
299.0,235.0,1.0,,877878184
23.0,172.0,4.0,,874785889
84.0,12.0,5.0,,883452874
301.0,202.0,5.0,,882076211
222.0,441.0,2.0,,881059920
189.0,1005.0,4.0,,893265971
151.0,89.0,5.0,,879524491
248.0,475.0,5.0,,884535446
213.0,609.0,4.0,,878955533
308.0,863.0,3.0,,887736881
194.0,4.0,4.0,,879521397
238.0,252.0,3.0,,883576644
201.0,1010.0,3.0,,884140579
95.0,1206.0,4.0,,888956137
181.0,1342.0,1.0,,878962168
207.0,4.0,4.0,,876198457
201.0,79.0,4.0,,884112245
184.0,181.0,4.0,,889907426
16.0,471.0,3.0,,877724845
297.0,218.0,3.0,,875409827
267.0,386.0,3.0,,878973597
220.0,303.0,4.0,,881198014
286.0,721.0,3.0,,877532329
13.0,14.0,4.0,,884538727
254.0,1116.0,3.0,,886473448
158.0,1011.0,4.0,,880132579
229.0,347.0,1.0,,891632073
271.0,220.0,3.0,,885848179
293.0,346.0,3.0,,888904004
305.0,61.0,4.0,,886323378
219.0,882.0,3.0,,889386741
313.0,148.0,2.0,,891031979
222.0,1207.0,2.0,,881060659
325.0,485.0,3.0,,891478599
291.0,571.0,2.0,,875086608
13.0,488.0,3.0,,890704999
318.0,257.0,5.0,,884471030
256.0,939.0,5.0,,882164893
196.0,67.0,5.0,,881252017
232.0,175.0,5.0,,888549815
210.0,380.0,4.0,,887736482
173.0,286.0,5.0,,877556626
269.0,616.0,4.0,,891450453
279.0,709.0,4.0,,875310195
308.0,378.0,3.0,,887740700
75.0,409.0,3.0,,884050829
66.0,249.0,4.0,,883602158
97.0,98.0,4.0,,884238728
