user_id,item_id,rating,timestamp
0.0,50.0,5.0,881250949.0
0.0,172.0,5.0,881250949.0
0.0,133.0,1.0,881250949.0
196.0,242.0,3.0,881250949.0
186.0,302.0,3.0,891717742.0
22.0,377.0,1.0,878887116.0
244.0,51.0,2.0,880606923.0
166.0,346.0,1.0,886397596.0
298.0,474.0,4.0,884182806.0
,265.0,2.0,881171488.0
253.0,465.0,5.0,891628467.0
305.0,451.0,3.0,
6.0,86.0,3.0,883603013.0
62.0,257.0,2.0,879372434.0
286.0,1014.0,5.0,879781125.0
200.0,222.0,5.0,876042340.0
,40.0,3.0,891035994.0
,29.0,3.0,888104457.0
303.0,785.0,3.0,
122.0,387.0,5.0,879270459.0
194.0,274.0,2.0,879539794.0
,1042.0,4.0,874834944.0
234.0,1184.0,2.0,892079237.0
119.0,392.0,4.0,886176814.0
167.0,486.0,,892738452.0
299.0,144.0,,877881320.0
291.0,118.0,2.0,874833878.0
308.0,1.0,4.0,887736532.0
95.0,546.0,2.0,879196566.0
38.0,95.0,5.0,892430094.0
102.0,768.0,2.0,883748450.0
63.0,277.0,4.0,875747401.0
160.0,234.0,5.0,876861185.0
50.0,246.0,3.0,877052329.0
301.0,98.0,4.0,882075827.0
225.0,193.0,4.0,879539727.0
290.0,88.0,4.0,880731963.0
97.0,194.0,3.0,884238860.0
157.0,274.0,,886890835.0
181.0,1081.0,1.0,878962623.0
278.0,603.0,5.0,891295330.0
276.0,796.0,,874791932.0
7.0,32.0,4.0,891350932.0
10.0,16.0,4.0,877888877.0
284.0,304.0,4.0,885329322.0
201.0,979.0,2.0,884114233.0
276.0,564.0,3.0,874791805.0
287.0,327.0,5.0,875333916.0
,201.0,5.0,884921594.0
242.0,1137.0,5.0,879741196.0
249.0,241.0,5.0,879641194.0
99.0,4.0,5.0,886519097.0
178.0,332.0,,882823437.0
251.0,100.0,4.0,886271884.0
81.0,432.0,2.0,876535131.0
260.0,322.0,,890618898.0
25.0,181.0,5.0,885853415.0
59.0,196.0,5.0,888205088.0
72.0,679.0,2.0,880037164.0
87.0,384.0,,
290.0,143.0,5.0,
